DATE,NOT_FOUND,FOUND
2022-12-15,,5948.0
2022-12-15,3320.0,
2022-12-16,,5859.0
2022-12-16,3388.0,
2022-12-17,,5627.0
2022-12-17,3372.0,
2022-12-18,,5591.0
2022-12-18,3235.0,
2022-12-19,,5633.0
2022-12-19,3148.0,
2022-12-20,,5672.0
2022-12-20,3247.0,
2022-12-21,,5568.0
2022-12-21,3394.0,
2022-12-22,,5505.0
2022-12-22,3434.0,
2022-12-23,,5579.0
2022-12-23,3385.0,
2022-12-24,,5549.0
2022-12-24,3379.0,
2022-12-25,,5553.0
2022-12-25,3303.0,
2022-12-26,,5527.0
2022-12-26,3339.0,
2022-12-27,,5561.0
2022-12-27,3305.0,
2022-12-28,,5549.0
2022-12-28,3306.0,
2022-12-29,,5621.0
2022-12-29,3242.0,
2022-12-30,,5600.0
2022-12-30,3283.0,
2022-12-31,,5513.0
2022-12-31,3268.0,
2023-01-01,,5488.0
2023-01-01,3223.0,
2023-01-02,,5548.0
2023-01-02,3186.0,
2023-01-03,,5549.0
2023-01-03,3302.0,
2023-01-04,,5578.0
2023-01-04,3356.0,
2023-01-05,,5580.0
2023-01-05,3324.0,
2023-01-06,,5737.0
2023-01-06,3202.0,
2023-01-07,,5735.0
2023-01-07,3169.0,
2023-01-08,,5728.0
2023-01-08,3060.0,
2023-01-09,,5758.0
2023-01-09,3065.0,
2023-01-10,,5730.0
2023-01-10,3210.0,
2023-01-11,,6057.0
2023-01-11,3028.0,
2023-01-12,,6062.0
2023-01-12,2960.0,
